Student_Name,College_Name,Stream,Year_of_Study,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Do_Professors_Allow_Use,Preferred_AI_Tool,Awareness_Level,Willing_to_Pay_for_Access,State,Device_Used,Internet_Access,Primary_AI_Tool,Num_AI_Tools_Used,Academic_Use_Flag,Usage_Bucket
Meera,Nalanda Open University,Arts,4,"ChatGPT, Gemini, Copilot",1.6,Learning new topics,1,1,True,ChatGPT,8,True,Bihar,Laptop,Medium,ChatGPT,3,True,Medium (1-3h)
Saanvi,"Ramnarain Ruia Autonomous College, Mumbai",Commerce,3,"Gemini, Midjourney",4.4,Content Writing,5,0,True,Gemini,5,False,Maharashtra,Laptop,Poor,Gemini,2,False,High (3h+)
Navya,Galgotias University,Agriculture,3,ChatGPT,3.1,"Doubt Solving, Resume Writing",3,-1,False,ChatGPT,4,True,Delhi Ncr,Laptop,High,ChatGPT,1,False,High (3h+)
Aarohi,Atal Bihari Vajpayee Hindi Vishwavidyalaya,Science,1,Gemini,0.5,"MCQ Practice, Projects",5,-2,False,ChatGPT,3,False,Madhya Pradesh,Laptop,High,Gemini,1,False,Low (<1h)
Prisha,"Government Mahaprabhu Vallabhacharya Post Graduate College, Mahasamund",Science,4,"ChatGPT, Gemini, Copilot",1.8,Content Writing,1,-3,True,Other,10,False,Chhattisgarh,Laptop,Poor,ChatGPT,3,False,Medium (1-3h)
Ishita,"The Global University, Itanagar",Commerce,3,Gemini,2.4,"MCQ Practice, Projects",1,-3,True,Copilot,8,False,Arunachal Pradesh,Laptop,Poor,Gemini,1,False,Medium (1-3h)
Rakhi,"Ggdsd College, Palampur",Arts,3,"ChatGPT, Copilot",3.2,"Exam Prep, Notes",2,0,True,Copilot,5,False,Himachal Pradesh,Mobile,High,ChatGPT,2,False,High (3h+)
Ramya,Shivaji University,Law,4,"ChatGPT, Gemini, Copilot",3.1,"Doubt Solving, Resume Writing",1,2,True,Copilot,9,False,Maharashtra,Mobile,Poor,ChatGPT,3,False,High (3h+)
Sneha,"Swami Keshwanand Rajasthan Agricultural University, Bikaner",Science,2,"Gemini, Midjourney",0.7,"Assignments, Coding Help",3,0,True,Other,2,False,Rajasthan,Mobile,High,Gemini,2,True,Low (<1h)
Divya,Vaishali Institute Of Business And Rural Management,Management,3,"Gemini, Midjourney",2.6,Learning new topics,3,-2,False,ChatGPT,10,False,Bihar,Tablet,Poor,Gemini,2,True,Medium (1-3h)
Neha,Panjab University,Agriculture,1,Copilot,4.1,"Assignments, Coding Help",5,1,True,Copilot,8,False,Punjab,Mobile,Medium,Copilot,1,True,High (3h+)
Pooja,Hyderabad School Of Business,Management,2,"ChatGPT, Copilot",3.2,Learning new topics,1,-1,True,Copilot,1,True,Telangana,Mobile,Poor,ChatGPT,2,True,High (3h+)
Kavya,Kerala University Of Fisheries And Ocean Studies,Law,4,Gemini,1.1,"Assignments, Coding Help",4,-1,False,ChatGPT,6,False,Kerala,Tablet,High,Gemini,1,True,Medium (1-3h)
Aishwarya,"Purnea University, Purnahiya",Law,3,Copilot,0.8,"Doubt Solving, Resume Writing",5,-3,True,Copilot,10,False,Bihar,Mobile,Poor,Copilot,1,False,Low (<1h)
Shreya,Shri Guru Ram Rai Institute Of Medical,Medical,1,"Gemini, Midjourney",1.4,Content Writing,2,1,False,Other,1,False,Uttarakhand,Laptop,Medium,Gemini,2,False,Medium (1-3h)
Nandini,Sardar Vallabhbhai National Institute Of Technology,Engineering,4,"ChatGPT, Copilot",0.7,"Exam Prep, Notes",4,2,True,Gemini,1,True,Gujarat,Laptop,Medium,ChatGPT,2,False,Low (<1h)
Aarav,"Nef Law College, Guwahati",Law,3,"ChatGPT, Copilot",2.9,Learning new topics,2,-2,False,ChatGPT,7,True,Assam,Mobile,Poor,ChatGPT,2,True,Medium (1-3h)
Vivaan,Doon Post Graduate College Of Agriculture Science,Hotel-Management,2,Copilot,3.1,"Assignments, Coding Help",2,-2,False,Gemini,10,True,Uttarakhand,Laptop,Medium,Copilot,1,True,High (3h+)
Aditya,College Of Veterinary And Animal Sciences,Science,4,"ChatGPT, Gemini, Copilot",0.6,"MCQ Practice, Projects",5,1,False,Copilot,7,True,Rajasthan,Laptop,Medium,ChatGPT,3,False,Low (<1h)
Vihaan,"Singhania University, Jhunjhunu",Management,2,"ChatGPT, Gemini, Copilot",2.7,Content Writing,1,2,False,Other,5,True,Rajasthan,Laptop,Medium,ChatGPT,3,False,Medium (1-3h)
Arjun,Jecrc University,Commerce,3,Gemini,4.1,Content Writing,3,-3,True,ChatGPT,4,True,Rajasthan,Laptop,Medium,Gemini,1,False,High (3h+)
Sai,"Rkdf University, Ranchi",Law,4,"Gemini, Midjourney",2.9,"MCQ Practice, Projects",2,-2,False,ChatGPT,3,True,Jharkhand,Tablet,High,Gemini,2,False,Medium (1-3h)
Reyansh,Bfit Group Of Institutions,Engineering,2,"ChatGPT, Copilot",1.0,Content Writing,5,-2,True,Gemini,6,True,Uttarakhand,Mobile,Poor,ChatGPT,2,False,Low (<1h)
Ayaan,National Institute Of Technology,Science,2,"ChatGPT, Gemini, Copilot",1.9,"MCQ Practice, Projects",5,-3,False,ChatGPT,8,True,Jammu,Mobile,High,ChatGPT,3,False,Medium (1-3h)
Krishna,Dr. Sns Rajalakshmi College Of Arts And,Commerce,1,"Gemini, Midjourney",1.1,"MCQ Practice, Projects",1,1,True,Gemini,2,False,Tamil Nadu,Laptop,Poor,Gemini,2,False,Medium (1-3h)
Ishaan,Ram Krishna Dwarika College,Commerce,3,"ChatGPT, Copilot",1.2,"Doubt Solving, Resume Writing",1,0,False,Gemini,7,False,Bihar,Tablet,High,ChatGPT,2,False,Medium (1-3h)
Rudra,"Inmantec Institutions, Ghaziabad",Pharmacy,2,Copilot,0.8,"Doubt Solving, Resume Writing",1,-2,True,Copilot,9,False,Delhi Ncr,Tablet,High,Copilot,1,False,Low (<1h)
Dhruv,"St.Joseph University, Dimapur",Science,3,ChatGPT,3.9,"Exam Prep, Notes",2,1,True,Copilot,2,True,Nagaland,Mobile,Medium,ChatGPT,1,False,High (3h+)
Kabir,Oriental University,Engineering,4,"ChatGPT, Gemini, Copilot",3.1,"Exam Prep, Notes",2,-1,True,ChatGPT,7,True,Madhya Pradesh,Mobile,Medium,ChatGPT,3,False,High (3h+)
Atharv,"The Global University, Itanagar",Management,1,ChatGPT,2.5,"Exam Prep, Notes",5,1,True,ChatGPT,9,False,Arunachal Pradesh,Mobile,Medium,ChatGPT,1,False,Medium (1-3h)
Om,Narsee Monjee Institute Of Management Studies,Medical,2,ChatGPT,2.9,"Exam Prep, Notes",5,-1,False,Copilot,3,True,Maharashtra,Laptop,Poor,ChatGPT,1,False,Medium (1-3h)
Anaya,Model Institute Of Engineering And Technology,Commerce,3,Copilot,1.1,Content Writing,5,0,True,Other,9,True,Jammu,Tablet,Medium,Copilot,1,False,Medium (1-3h)
Siya,Kerala University,Law,1,Copilot,1.7,"MCQ Practice, Projects",5,-1,True,Gemini,5,False,Kerala,Mobile,High,Copilot,1,False,Medium (1-3h)
Diya,International Institute Of Information Technology,Engineering,1,"ChatGPT, Copilot",0.7,"MCQ Practice, Projects",1,-1,False,Copilot,9,True,Karnataka,Tablet,High,ChatGPT,2,False,Low (<1h)
Myra,Panjab University,Pharmacy,3,Gemini,4.2,"Assignments, Coding Help",4,-3,False,Gemini,4,True,Haryana,Mobile,Poor,Gemini,1,True,High (3h+)
Aadhya,"Pdm University, Bahadurgarh, Bahadurgarh",Law,2,Gemini,2.6,Learning new topics,2,-3,True,ChatGPT,3,False,Haryana,Laptop,Medium,Gemini,1,True,Medium (1-3h)
Riya,Dibrugarh Hanumanbux Surajmal Kanoi College,Arts,4,Copilot,4.2,Learning new topics,2,-1,True,Gemini,6,True,Assam,Tablet,High,Copilot,1,True,High (3h+)
Pari,Government Engineering College,Engineering,3,ChatGPT,2.9,"Exam Prep, Notes",2,-2,True,Other,6,True,Chhattisgarh,Laptop,Medium,ChatGPT,1,False,Medium (1-3h)
Anika,Indian Institute Of Information Technology,Engineering,3,"Gemini, Midjourney",2.2,"Assignments, Coding Help",4,-3,False,Gemini,10,False,Gujarat,Laptop,Poor,Gemini,2,True,Medium (1-3h)
Ira,Institute Of Agri Business Management,Agriculture,3,Copilot,1.3,"Doubt Solving, Resume Writing",1,-3,False,ChatGPT,8,False,Rajasthan,Tablet,Medium,Copilot,1,False,Medium (1-3h)
Meera,"Institute Of Law, Nirma University",Law,1,Copilot,2.0,Learning new topics,2,-3,False,Other,5,False,Gujarat,Mobile,Poor,Copilot,1,True,Medium (1-3h)
Saanvi,Institute Of Medical Sciences And Sum Hospital,Medical,2,ChatGPT,1.3,"Assignments, Coding Help",3,-3,True,ChatGPT,8,False,Orissa,Laptop,High,ChatGPT,1,True,Medium (1-3h)
Navya,"Amity University, Gwalior",Pharmacy,2,ChatGPT,2.6,Learning new topics,3,-2,True,Gemini,8,True,Madhya Pradesh,Laptop,High,ChatGPT,1,True,Medium (1-3h)
Aarohi,Jayoti Vidyapeeth Women'S University,Arts,1,"Gemini, Midjourney",3.8,"MCQ Practice, Projects",1,0,True,Copilot,1,True,Rajasthan,Mobile,Medium,Gemini,2,False,High (3h+)
Prisha,"Institute Of Hotel Management Shri Shakti- [Ihm],",Hotel-Management,2,"Gemini, Midjourney",1.5,Learning new topics,4,3,False,ChatGPT,10,True,Telangana,Tablet,Medium,Gemini,2,True,Medium (1-3h)
Ishita,Bidhan Chandra Krishi Viswavidyalaya,Agriculture,2,Copilot,0.8,Content Writing,5,-1,True,Other,6,False,West Bengal,Tablet,Medium,Copilot,1,False,Low (<1h)
Rakhi,"Indira Gandhi Institute Of Pharmaceutical Sciences, Bhubaneswar",Pharmacy,1,"Gemini, Midjourney",3.3,"Exam Prep, Notes",5,1,False,Other,9,False,Orissa,Laptop,Medium,Gemini,2,False,High (3h+)
Ramya,"Jntua College Of Engineering, Ananthapur",Engineering,2,ChatGPT,3.1,"Assignments, Coding Help",5,1,True,Gemini,8,False,Andhra Pradesh,Mobile,High,ChatGPT,1,True,High (3h+)
Sneha,"Poddar Group Of Institutions, Jaipur",Science,4,Gemini,2.0,"MCQ Practice, Projects",2,-2,False,Other,10,False,Rajasthan,Tablet,Poor,Gemini,1,False,Medium (1-3h)
Divya,"St. Mira'S College For Girls, Pune",Commerce,4,"Gemini, Midjourney",4.1,Content Writing,5,-3,False,Copilot,9,True,Maharashtra,Laptop,High,Gemini,2,False,High (3h+)
Neha,"Maharaja Ranjit Singh Punjab Technical University, Bathinda",Agriculture,2,Copilot,2.9,"Exam Prep, Notes",3,-2,True,Gemini,1,True,Punjab,Laptop,Poor,Copilot,1,False,Medium (1-3h)
Pooja,"Iihmr University, Jaipur",Arts,1,"ChatGPT, Gemini, Copilot",3.0,Learning new topics,2,-2,False,Copilot,9,True,Rajasthan,Laptop,Medium,ChatGPT,3,True,Medium (1-3h)
Kavya,Seth Gs Medical College,Medical,1,Copilot,4.3,"MCQ Practice, Projects",2,3,True,Gemini,5,False,Maharashtra,Laptop,High,Copilot,1,False,High (3h+)
Aishwarya,"Faculty Of Management Studies, Manav Rachna International",Management,1,ChatGPT,3.8,Content Writing,3,2,False,Gemini,8,False,Haryana,Tablet,High,ChatGPT,1,False,High (3h+)
Shreya,Dav College,Science,3,Gemini,3.7,Learning new topics,2,2,False,Other,8,True,Punjab,Mobile,High,Gemini,1,True,High (3h+)
Nandini,Sri Ram Chandra Bhanja Medical College And,Pharmacy,1,ChatGPT,2.3,Content Writing,3,0,False,Other,7,True,Orissa,Laptop,Medium,ChatGPT,1,False,Medium (1-3h)
Aarav,Rp Inderaprastha Institute Of Technology,Hotel-Management,2,Gemini,0.9,"Assignments, Coding Help",3,2,True,Copilot,5,False,Haryana,Mobile,Medium,Gemini,1,True,Low (<1h)
Vivaan,"University School Of Business, Chandigarh University",Arts,1,ChatGPT,4.2,"MCQ Practice, Projects",5,3,True,Copilot,1,False,Punjab,Laptop,Medium,ChatGPT,1,False,High (3h+)
Aditya,Jesus And Mary College,Science,4,Copilot,1.2,"Exam Prep, Notes",2,-2,True,Gemini,9,True,Delhi Ncr,Tablet,Poor,Copilot,1,False,Medium (1-3h)
Vihaan,Baba Balak Nath Post Graduate College,Science,3,Copilot,1.3,"Doubt Solving, Resume Writing",5,3,True,Other,10,True,Himachal Pradesh,Tablet,Medium,Copilot,1,False,Medium (1-3h)
Arjun,"C. V. Raman Global University, Bhubaneswar",Hotel-Management,1,"ChatGPT, Gemini, Copilot",0.9,"Doubt Solving, Resume Writing",2,1,False,Copilot,6,False,Orissa,Mobile,High,ChatGPT,3,False,Low (<1h)
Sai,Sunrise University,Pharmacy,1,Gemini,3.1,Content Writing,1,3,True,Gemini,1,False,Delhi Ncr,Mobile,High,Gemini,1,False,High (3h+)
Reyansh,"Dr. Zakir Husain Institute, Patna",Hotel-Management,3,Gemini,2.1,Content Writing,1,-1,True,Other,5,False,Bihar,Mobile,Poor,Gemini,1,False,Medium (1-3h)
Ayaan,"Shree Damodar College Of Commerce And Economics, Salcete",Commerce,3,"ChatGPT, Gemini, Copilot",4.4,"Doubt Solving, Resume Writing",1,1,False,Gemini,2,False,Goa,Laptop,Medium,ChatGPT,3,False,High (3h+)
Krishna,Royal Global University,Law,2,Copilot,0.8,Content Writing,4,1,True,Gemini,6,True,Assam,Laptop,Medium,Copilot,1,False,Low (<1h)
Ishaan,Vit University,Arts,3,Gemini,3.9,"Doubt Solving, Resume Writing",4,-2,False,Other,1,True,Andhra Pradesh,Mobile,High,Gemini,1,False,High (3h+)
Rudra,Pt Bhagwat Dayal Sharma Post Graduate Institute,Medical,3,Gemini,0.5,"MCQ Practice, Projects",1,-3,False,Copilot,1,False,Delhi Ncr,Laptop,Medium,Gemini,1,False,Low (<1h)
Dhruv,All India Institute Of Management Studies,Medical,2,Gemini,4.5,"MCQ Practice, Projects",5,3,True,Other,9,True,Tamil Nadu,Tablet,Poor,Gemini,1,False,High (3h+)
Kabir,"Shobhit University, Meerut",Pharmacy,4,"ChatGPT, Copilot",1.8,"Doubt Solving, Resume Writing",1,1,True,ChatGPT,7,True,Delhi Ncr,Tablet,High,ChatGPT,2,False,Medium (1-3h)
Atharv,"Kk College Of Engineering And Management, Dhanbad",Engineering,4,Copilot,1.4,"MCQ Practice, Projects",2,2,True,Other,10,True,Jharkhand,Mobile,High,Copilot,1,False,Medium (1-3h)
Om,"Amity University, Kolkata",Hotel-Management,1,Copilot,0.6,"Assignments, Coding Help",1,0,False,Other,10,True,West Bengal,Laptop,Medium,Copilot,1,True,Low (<1h)
Anaya,"Emea College Of Arts And Science Kondotty,",Law,3,"ChatGPT, Copilot",4.3,"Exam Prep, Notes",4,-1,False,Copilot,3,True,Kerala,Laptop,Poor,ChatGPT,2,False,High (3h+)
Siya,Government Degree College,Arts,4,"ChatGPT, Gemini, Copilot",4.1,Learning new topics,4,3,True,Other,7,True,Jammu,Laptop,High,ChatGPT,3,True,High (3h+)
Diya,Vaishali Institute Of Business And Rural Management,Management,3,Copilot,3.2,Learning new topics,4,1,True,Other,7,False,Bihar,Laptop,Poor,Copilot,1,True,High (3h+)
Myra,"Pg Government College For Girls, Chandigarh",Commerce,3,"Gemini, Midjourney",2.9,"MCQ Practice, Projects",5,-2,False,ChatGPT,9,False,Chandigarh,Tablet,Poor,Gemini,2,False,Medium (1-3h)
Aadhya,Goswami Ganesh Dutt Sanatan Dharama College,Law,4,Copilot,1.8,"Doubt Solving, Resume Writing",5,-2,True,ChatGPT,10,False,Chandigarh,Laptop,High,Copilot,1,False,Medium (1-3h)
Riya,Institute Of Technology And Science,Management,4,Copilot,1.2,"Exam Prep, Notes",1,-3,False,Other,3,True,Uttar Pradesh,Mobile,Medium,Copilot,1,False,Medium (1-3h)
Pari,People'S Institute Of Management & Research,Management,1,"Gemini, Midjourney",1.0,Learning new topics,3,-1,False,ChatGPT,8,False,Madhya Pradesh,Tablet,Medium,Gemini,2,True,Low (<1h)
Anika,"Icfai University, West Tripura",Medical,2,"ChatGPT, Copilot",3.5,"Doubt Solving, Resume Writing",2,0,False,Copilot,4,False,Tripura,Laptop,Medium,ChatGPT,2,False,High (3h+)
Ira,"Government Polytechnic College, Sopore",Engineering,2,"Gemini, Midjourney",3.9,Learning new topics,3,-2,True,Copilot,9,True,Jammu,Laptop,High,Gemini,2,True,High (3h+)
Meera,Cochin University Of Science And Technology,Agriculture,3,Gemini,2.9,Learning new topics,2,0,False,Other,8,False,Kerala,Laptop,Medium,Gemini,1,True,Medium (1-3h)
Saanvi,Kalinga Institute Of Industrial Technology,Medical,3,"Gemini, Midjourney",1.5,"MCQ Practice, Projects",3,1,False,Gemini,8,False,Orissa,Mobile,High,Gemini,2,False,Medium (1-3h)
Navya,Himgiri Zee University,Hotel-Management,3,"ChatGPT, Gemini, Copilot",0.9,"MCQ Practice, Projects",2,-1,True,ChatGPT,10,False,Uttarakhand,Mobile,Poor,ChatGPT,3,False,Low (<1h)
Aarohi,Lj Institute Of Computer Application,Science,2,"ChatGPT, Gemini, Copilot",1.7,Learning new topics,2,-2,True,Other,10,True,Gujarat,Tablet,Medium,ChatGPT,3,True,Medium (1-3h)
Prisha,"Nirmalagiri College, Kannur",Commerce,1,"ChatGPT, Copilot",3.7,"Doubt Solving, Resume Writing",4,1,False,Gemini,5,True,Kerala,Laptop,High,ChatGPT,2,False,High (3h+)
Ishita,Mahatma Jyoti Rao Phoole University,Science,1,"ChatGPT, Copilot",0.8,"MCQ Practice, Projects",4,-1,False,ChatGPT,2,True,Rajasthan,Mobile,High,ChatGPT,2,False,Low (<1h)
Rakhi,Institute Of Pharmacy,Pharmacy,4,Copilot,3.1,"Exam Prep, Notes",5,2,True,ChatGPT,1,True,West Bengal,Laptop,Medium,Copilot,1,False,High (3h+)
Ramya,Lm College Of Pharmacy,Science,4,"Gemini, Midjourney",4.4,"Assignments, Coding Help",1,-1,True,ChatGPT,6,True,Gujarat,Tablet,Poor,Gemini,2,True,High (3h+)
Sneha,Central University Of Jharkhand,Management,2,"Gemini, Midjourney",1.2,Content Writing,4,-2,False,Gemini,3,False,Jharkhand,Laptop,High,Gemini,2,False,Medium (1-3h)
Divya,Acharya Narendra Dev College,Commerce,4,ChatGPT,3.3,"MCQ Practice, Projects",4,2,True,Copilot,8,False,Delhi Ncr,Mobile,Medium,ChatGPT,1,False,High (3h+)
Neha,"Arya Post Graduate College, Panipat",Law,4,"ChatGPT, Copilot",2.6,Content Writing,2,-3,False,Gemini,8,True,Haryana,Laptop,Medium,ChatGPT,2,False,Medium (1-3h)
Pooja,Amar Shaheed Baba Ajit Singh Jujhar Singh,Pharmacy,4,"Gemini, Midjourney",2.2,Learning new topics,2,3,True,Other,1,True,Punjab,Laptop,Poor,Gemini,2,True,Medium (1-3h)
Kavya,"Umiya Arts And Commerce College For Girls,",Arts,1,ChatGPT,0.8,"Exam Prep, Notes",1,0,False,Gemini,7,True,Gujarat,Mobile,Poor,ChatGPT,1,False,Low (<1h)
Aishwarya,"Holy Cross College, Agartala",Science,2,"ChatGPT, Copilot",0.6,"Assignments, Coding Help",2,3,False,Gemini,1,True,Tripura,Laptop,Medium,ChatGPT,2,True,Low (<1h)
Shreya,Oriental University,Agriculture,1,ChatGPT,3.3,Learning new topics,4,-3,True,ChatGPT,9,False,Madhya Pradesh,Mobile,High,ChatGPT,1,True,High (3h+)
Nandini,Nehru Academy Of Law,Law,1,Gemini,3.4,Learning new topics,2,0,False,Other,4,False,Kerala,Laptop,High,Gemini,1,True,High (3h+)
Aarav,Grd Institute Of Management And Technology,Hotel-Management,4,ChatGPT,4.3,Learning new topics,5,-3,True,Gemini,7,True,Uttarakhand,Tablet,High,ChatGPT,1,True,High (3h+)
Vivaan,"Government Medical College / Rajindra Hospital-[Gmcp], Patiala",Medical,4,"ChatGPT, Copilot",0.8,Learning new topics,3,2,True,ChatGPT,5,False,Punjab,Laptop,Medium,ChatGPT,2,True,Low (<1h)
Aditya,Jp Institute Of Hotel Management & Catering,Hotel-Management,4,Gemini,3.9,"Exam Prep, Notes",4,3,True,Gemini,2,True,Uttar Pradesh,Mobile,Medium,Gemini,1,False,High (3h+)
Vihaan,"Dhanamanjuri University, Imphal",Science,3,Gemini,2.8,Learning new topics,4,2,True,Gemini,4,True,Manipur,Mobile,Medium,Gemini,1,True,Medium (1-3h)
Arjun,"Durgapur Institute Of Legal Studies, Bardhaman",Law,3,Copilot,1.4,Content Writing,1,2,True,ChatGPT,9,False,West Bengal,Laptop,Medium,Copilot,1,False,Medium (1-3h)
Sai,Srm Institute Of Technology,Law,3,"Gemini, Midjourney",1.5,Learning new topics,5,-1,False,Gemini,9,False,Tamil Nadu,Mobile,Poor,Gemini,2,True,Medium (1-3h)
Reyansh,Madhav University,Engineering,2,Gemini,2.6,"Assignments, Coding Help",4,2,True,Other,2,True,Rajasthan,Tablet,Poor,Gemini,1,True,Medium (1-3h)
Ayaan,Itm Institute Of Hotel Management,Hotel-Management,3,Gemini,2.0,Content Writing,3,1,True,Gemini,4,True,Maharashtra,Laptop,Medium,Gemini,1,False,Medium (1-3h)
Krishna,"Ips Group Of Colleges, Gwalior",Pharmacy,3,"ChatGPT, Copilot",0.5,"Exam Prep, Notes",1,-1,False,Gemini,4,True,Madhya Pradesh,Tablet,Poor,ChatGPT,2,False,Low (<1h)
Ishaan,"Rayat Bahra Hoshiarpur Campus, Hoshiarpur",Pharmacy,2,Gemini,3.2,"MCQ Practice, Projects",4,-1,True,Copilot,7,True,Punjab,Mobile,Poor,Gemini,1,False,High (3h+)
Rudra,"St Francis Sales College, West Siang",Arts,2,ChatGPT,2.6,"Assignments, Coding Help",5,2,False,ChatGPT,6,False,Arunachal Pradesh,Tablet,Poor,ChatGPT,1,True,Medium (1-3h)
Dhruv,"Pcte Group Of Institutes, Ludhiana",Management,4,"ChatGPT, Gemini, Copilot",1.1,"Doubt Solving, Resume Writing",4,2,False,ChatGPT,6,True,Punjab,Mobile,High,ChatGPT,3,False,Medium (1-3h)
Kabir,Sister Nivedita University,Hotel-Management,4,ChatGPT,4.2,"MCQ Practice, Projects",4,-1,True,Copilot,4,True,West Bengal,Tablet,Poor,ChatGPT,1,False,High (3h+)
Atharv,"Government Degree College, Baramulla",Science,4,Gemini,2.4,"Doubt Solving, Resume Writing",5,1,True,Gemini,7,False,Jammu,Mobile,Poor,Gemini,1,False,Medium (1-3h)
